# Group: MemGrp	
# Op	Range	Mn	FlagsR	FlagsW	RegsR	RegsW	Descriptoin
CTRL:	NONE
0xac	0x00	STAZ.B	None	F,L,M,V	A,Z	None	Store Value in A Register to address in Z Register (Byte)
0xad	0x00	STAS.B	None	F,L,M,V	A,S	None	Store Value in A Register to address in S Register (Byte)
0xae	0x00	STAC.B	None	F,L,M,V	A,C	None	Store Value in A Register to address in C Register (Byte)
0xaf	0x00	STAP.B	None	F,L,M,V	A,P	None	Store Value in A Register to address in P Register (Byte)

STA:	MEM
0xb0	0x05	STA	None	F,L,M,V	A	None	Store A Register

STAI:	NONE
0xb8	0x00	STAA	None	F,L,M,V	A	None	Store Value in A Register to address in A Register
0xb9	0x00	STAB	None	F,L,M,V	A,B	None	Store Value in A Register to address in B Register
0xba	0x00	STAX	None	F,L,M,V	A,X	None	Store Value in A Register to address in X Register
0xbb	0x00	STAY	None	F,L,M,V	A,Y	None	Store Value in A Register to address in Y Register
0xbc	0x00	STAZ	None	F,L,M,V	A,Z	None	Store Value in A Register to address in Z Register
0xbd	0x00	STAS	None	F,L,M,V	A,S	None	Store Value in A Register to address in S Register
0xbe	0x00	STAC	None	F,L,M,V	A,C	None	Store Value in A Register to address in C Register
0xbf	0x00	STAP	None	F,L,M,V	A,P	None	Store Value in A Register to address in P Register


LDBB:	MEMB
0xc0	0x05	LDB.B	None	F,L,M,V	None	B	Load B Register (Byte)

LDBIB:	NONE
0xc8	0x00	LDBA.B	None	F,L,M,V	A	B	Load B Register from address in A Register (Byte)
0xc9	0x00	LDBB.B	None	F,L,M,V	B	B	Load B Register from address in B Register (Byte)
0xca	0x00	LDBX.B	None	F,L,M,V	X	B	Load B Register from address in X Register (Byte)
0xcb	0x00	LDBY.B	None	F,L,M,V	Y	B	Load B Register from address in Y Register (Byte)
0xcc	0x00	LDBZ.B	None	F,L,M,V	Z	B	Load B Register from address in Z Register (Byte)
0xcd	0x00	LDBS.B	None	F,L,M,V	S	B	Load B Register from address in S Register (Byte)
0xce	0x00	LDBC.B	None	F,L,M,V	C	B	Load B Register from address in C Register (Byte)
0xcf	0x00	LDBP.B	None	F,L,M,V	P	B	Load B Register from address in P Register (Byte)

LDB:	MEM
0xd0	0x05	LDB	None	F,L,M,V	None	B	Load B Register

LDBI:	NONE
0xd8	0x00	LDBA	None	F,L,M,V	A	B	Load B Register from address in A Register
0xd9	0x00	LDBB	None	F,L,M,V	B	B	Load B Register from address in B Register
0xda	0x00	LDBX	None	F,L,M,V	X	B	Load B Register from address in X Register
0xdb	0x00	LDBY	None	F,L,M,V	Y	B	Load B Register from address in Y Register
0xdc	0x00	LDBZ	None	F,L,M,V	Z	B	Load B Register from address in Z Register
0xdd	0x00	LDBS	None	F,L,M,V	S	B	Load B Register from address in S Register
0xde	0x00	LDBC	None	F,L,M,V	C	B	Load B Register from address in C Register
0xdf	0x00	LDBP	None	F,L,M,V	P	B	Load B Register from address in P Register


STBB:	MEMB
0xe0	0x05	STB.B	None	F,L,M,V	B	None	Store B Register (Byte)

STBIB:	NONE
0xe8	0x00	STBA.B	None	F,L,M,V	B,A	None	Store Value in B Register to address in A Register (Byte)
0xe9	0x00	STBB.B	None	F,L,M,V	B	None	Store Value in B Register to address in B Register (Byte)
0xea	0x00	STBX.B	None	F,L,M,V	B,X	None	Store Value in B Register to address in X Register (Byte)
0xeb	0x00	STBY.B	None	F,L,M,V	B,Y	None	Store Value in B Register to address in Y Register (Byte)
0xec	0x00	STBZ.B	None	F,L,M,V	B,Z	None	Store Value in B Register to address in Z Register (Byte)
0xed	0x00	STBS.B	None	F,L,M,V	B,S	None	Store Value in B Register to address in S Register (Byte)
0xee	0x00	STBC.B	None	F,L,M,V	B,C	None	Store Value in B Register to address in C Register (Byte)
0xef	0x00	STBP.B	None	F,L,M,V	B,P	None	Store Value in B Register to address in P Register (Byte)

STB:	MEM
0xf0	0x05	STB	None	F,L,M,V	B	None	Store B Register

STBI:	NONE
0xf8	0x00	STBA	None	F,L,M,V	B,A	None	Store Value in B Register to address in A Register
0xf9	0x00	STBB	None	F,L,M,V	B	None	Store Value in B Register to address in B Register
0xfa	0x00	STBX	None	F,L,M,V	B,X	None	Store Value in B Register to address in X Register
0xfb	0x00	STBY	None	F,L,M,V	B,Y	None	Store Value in B Register to address in Y Register
0xfc	0x00	STBZ	None	F,L,M,V	B,Z	None	Store Value in B Register to address in Z Register
0xfd	0x00	STBS	None	F,L,M,V	B,S	None	Store Value in B Register to address in S Register
0xfe	0x00	STBC	None	F,L,M,V	B,C	None	Store Value in B Register to address in C Register
0xff	0x00	STBP	None	F,L,M,V	B,P	None	Store Value in B Register to address in P Register


